"AnchorUrl","ApplicationPermissions","OperationPermissions","ResourceType","OriginalName","PrefixedName","LastUpdated"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#distributionGroup-resource-type","","","exchange","distributionGroup","microsoft.exchange.distributionGroup","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#dkimSigningConfig-resource-type","","","exchange","dkimSigningConfig","microsoft.exchange.dkimSigningConfig","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#dkimsigningconfig-resource-type","","","exchange","dkimsigningconfig","microsoft.exchange.dkimsigningconfig","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#emailAddressPolicy-resource-type","","","exchange","emailAddressPolicy","microsoft.exchange.emailAddressPolicy","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#emailaddresspolicy-resource-type","","","exchange","emailaddresspolicy","microsoft.exchange.emailaddresspolicy","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#groupSettings-resource-type","","","exchange","groupSettings","microsoft.exchange.groupSettings","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#groupsettings-resource-type","","","exchange","groupsettings","microsoft.exchange.groupsettings","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#hostedConnectionFilterPolicy-resource-type","","","exchange","hostedConnectionFilterPolicy","microsoft.exchange.hostedConnectionFilterPolicy","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#hostedconnectionfilterpolicy-resource-type","","","exchange","hostedconnectionfilterpolicy","microsoft.exchange.hostedconnectionfilterpolicy","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#hostedcontentfilterpolicy-resource-type","","","exchange","hostedcontentfilterpolicy","microsoft.exchange.hostedcontentfilterpolicy","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#hostedContentFilterPolicy-resource-type","","","exchange","hostedContentFilterPolicy","microsoft.exchange.hostedContentFilterPolicy","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#hostedContentFilterRule-resource-type","","","exchange","hostedContentFilterRule","microsoft.exchange.hostedContentFilterRule","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#hostedcontentfilterrule-resource-type","","","exchange","hostedcontentfilterrule","microsoft.exchange.hostedcontentfilterrule","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#hostedOutboundSpamFilterPolicy-resource-type","","","exchange","hostedOutboundSpamFilterPolicy","microsoft.exchange.hostedOutboundSpamFilterPolicy","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#hostedoutboundspamfilterpolicy-resource-type","","","exchange","hostedoutboundspamfilterpolicy","microsoft.exchange.hostedoutboundspamfilterpolicy","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#hostedOutboundSpamFilterRule-resource-type","","","exchange","hostedOutboundSpamFilterRule","microsoft.exchange.hostedOutboundSpamFilterRule","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#hostedoutboundspamfilterrule-resource-type","","","exchange","hostedoutboundspamfilterrule","microsoft.exchange.hostedoutboundspamfilterrule","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#inboundConnector-resource-type","","","exchange","inboundConnector","microsoft.exchange.inboundConnector","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#inboundconnector-resource-type","","","exchange","inboundconnector","microsoft.exchange.inboundconnector","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#intraOrganizationConnector-resource-type","","","exchange","intraOrganizationConnector","microsoft.exchange.intraOrganizationConnector","2026-02-06T10:47:34Z"
